,PatentNumber,PatentAsignee
17887,WO200052208-A2,UNIV CHICAGO (UYCG-C)
17888,WO200052208-A2,MIRZABEKOV A (MIRZ-Individual)
17889,WO200052208-A2,GUSCHIN D Y (GUSC-Individual)
17890,WO200052208-A2,CHIK V (CHIK-Individual)
17891,WO200052208-A2,DROBYSHEV A (DROB-Individual)
17892,WO200052208-A2,FOTIN A (FOTI-Individual)
17893,WO200052208-A2,YERSHOV G (YERS-Individual)
17894,WO200052208-A2,LYSOV Y (LYSO-Individual)
17895,WO200052208-A2,U CHICAGO ARGONNE LLC (UCHI-Non-standard)
17896,JP2000239360-A,MITSUBISHI CHEM CO LTD (MITU-C)
17897,US6114115-A,VALIGENE CORP (VALI-Non-standard)
17898,WO200050869-A2,INCYTE PHARM INC (INYT-C)
17899,WO200050869-A2,INCYTE GENOMICS INC (INYT-C)
17900,WO200050869-A2,INCYTE GENOMICS INC (INYT-C)
17901,WO200050869-A2,ARNOLD L (ARNO-Individual)
17902,WO200050869-A2,THERIAULT T (THER-Individual)
17903,WO200050869-A2,BEDILION T (BEDI-Individual)
17904,WO200050589-A1,LUDWIG INST CANCER RES (LICR-C)
17905,WO200050589-A1,LUDWIG INST CANCER RES (LICR-C)
17906,WO200049871-A1,FORD HEALTH SYSTEM HENRY (FOHE-C)
17907,WO200049871-A1,DOU D (DOUD-Individual)
17908,WO200049871-A1,CHOPP M (CHOP-Individual)
17909,WO200049871-A1,WANG L (WANG-Individual)
17910,WO200049871-A1,MIKKELSEN T (MIKK-Individual)
17911,WO200048625-A2,ZYMOGENETICS INC (ZYMO-C)
17912,WO200048625-A2,ZYMOGENETICS INC (ZYMO-C)
17913,FR2789696-A1,BIOMETHODES SARL (BIOM-Non-standard)
17914,WO200047774-A1,NEXSTAR PHARM INC (NEXS-Non-standard)
17915,WO200047774-A1,GILEAD SCI INC (GILE-C)
17916,WO200047774-A1,GILEAD SCI INC (GILE-C)
17917,WO200047774-A1,NEXSTAR PHARM INC (NEXS-Non-standard)
17918,WO200047774-A1,GILEAD SCI INC (GILE-C)
17919,WO200047683-A1,CRYOVAC INC (CRYV-C)
17920,WO200047683-A1,CRYOVAC INC (CRYV-C)
17921,WO200047683-A1,CRYOVAC INC (CRYV-C)
17922,US6103474-A,AGILENT TECHNOLOGIES INC (AGIL-C)
17923,EP1028124-A2,ISIS PHARM INC (ISSP-C)
17924,EP1028124-A2,ISIS PHARM INC (ISSP-C)
17925,EP1028124-A2,ISIS PHARM INC (ISSP-C)
17926,EP1028124-A2,RAVIKUMAR V T (RAVI-Individual)
17927,EP1028124-A2,MANOHARAN M (MANO-Individual)
17928,EP1028124-A2,CAPALDI D C (CAPA-Individual)
17929,EP1028124-A2,KROTZ A (KROT-Individual)
17930,EP1028124-A2,COLE D L (COLE-Individual)
17931,EP1028124-A2,GUZAEV A (GUZA-Individual)
17932,EP1028124-A2,MANOHARAN M (MANO-Individual)
17933,EP1028124-A2,CAPALDI D C (CAPA-Individual)
17934,EP1028124-A2,COLE D L (COLE-Individual)
17935,EP1028124-A2,GUZAEV A (GUZA-Individual)
17936,EP1028124-A2,ISIS PHARM INC (ISSP-C)
17937,EP1028124-A2,IONIS PHARM INC (ISSP-C)
17938,WO200045167-A2,AVI BIOPHARMA INC (AVIB-Non-standard)
17939,WO200045167-A2,AVI BIOPHARMA INC (AVIB-Non-standard)
17940,US6096429-A,EASTMAN KODAK CO (EAST-C)
17941,US6096502-A,LEE S S (LEES-Individual)
17942,WO200043942-A2,COMBIMATRIX CORP (COMB-Non-standard)
17943,WO200043942-A2,COMBIMATRIX CORP (COMB-Non-standard)
17944,WO200043942-A2,COMBIMATRIX CORP (COMB-Non-standard)
17945,WO200043111-A1,ISIS PHARM INC (ISSP-C)
17946,WO200043111-A1,ISIS PHARM INC (ISSP-C)
17947,WO200043552-A2,LOCKHEED MARTIN ENERGY RES CORP (LOCK-C)
17948,WO200043552-A2,UT-BATTELLE LLC (UTBA-C)
17949,WO200043552-A2,UT BATTELLE LLC (UTBA-C)
17950,JP2000204177-A,DIAFOIL HOECHST CO LTD (DAFO-C)
17951,DE19901009-A1,DEUT KREBSFORSCHUNGSZENTRUM (DEKR-C)
17952,DE19901009-A1,DEUT KREBSFORSCHUNGSZENTRUM (DEKR-C)
17953,DE19901009-A1,DEUT KREBSFORSCHUNGSZENTRUM STIFTUNG OFF (DEKR-C)
17954,DE19901008-A1,DEUT KREBSFORSCHUNGSZENTRUM (DEKR-C)
17955,DE19901008-A1,DEUT KREBSFORSCHUNGSZENTRUM (DEKR-C)
17956,DE19901008-A1,DEUT KREBSFORSCHUNGSZENTRUM (DEKR-C)
17957,WO200041675-A1,AJINOMOTO CO INC (AJIN-C)
17958,WO200041675-A1,AJINOMOTO KK (AJIN-C)
17959,WO200042171-A1,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
17960,WO200042171-A1,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
17961,WO200042171-A1,GENESIS RES & DEV CORP (GENE-Non-standard)
17962,WO200042171-A1,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
17963,WO200042171-A1,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
17964,WO200042171-A1,AGRIGENESIS BIOSCIENCES LTD (AGRI-Non-standard)
17965,WO200042171-A1,GENESIS RES & DEV (GENE-Non-standard)
17966,WO200041744-A1,TAGGART MEDO E (MEDO-Individual)
17967,WO200041744-A1,MEDO E T (MEDO-Individual)
17968,WO200043538-A1,UNIV MONTREAL (UMTL-C)
17969,WO200043538-A1,UNIV MONTREAL (UMTL-C)
17970,WO200043538-A1,UNIV MONTREAL (UMTL-C)
17971,US6090193-A,SRI INT (STRI-C)
17972,US6090549-A,UNIV CHICAGO (UYCG-C)
17973,WO200040758-A2,HYSEQ INC (HYSE-Non-standard)
17974,WO200040758-A2,HYSEQ INC (HYSE-Non-standard)
17975,WO200040758-A2,NUVELO INC (NUVE-Non-standard)
17976,WO200040758-A2,CALLIDA GENOMICS INC (CALL-Non-standard)
17977,WO200040758-A2,CALLIDA GENOMICS INC (CALL-Non-standard)
17978,WO200040758-A2,CALLIDA GENOMICS INC (CALL-Non-standard)
17979,WO200040758-A2,CALLIDA GENOMICS INC (CALL-Non-standard)
17980,WO200040758-A2,DRMANAC R (DRMA-Individual)
17981,WO200040758-A2,DRMANAC S (DRMA-Individual)
17982,WO200040758-A2,KITA D (KITA-Individual)
17983,WO200040758-A2,COOKE C (COOK-Individual)
17984,WO200040758-A2,XU C (XUCC-Individual)
17985,DE19917838-A1,BUNDESREPUBLIK DEUT PAUL-EHRLICH-INST (BUND-C)
17986,EP1018646-A2,FUJI PHOTO FILM CO LTD (FUJF-C)
17987,EP1018646-A2,FUJI PHOTO FILM CO LTD (FUJF-C)
17988,EP1018646-A2,FUJI PHOTO FILM CO LTD (FUJF-C)
17989,US6086881-A,CHILDRENS MEDICAL CENT (CHLD-C)
17990,US6087491-A,HYBRIDON INC (HYBR-C)
17991,WO200037674-A1,UNIV VICTORIA MANCHESTER (UYMA-Non-standard)
17992,WO200037674-A1,UNIV VICTORIA MANCHESTER (UYMA-Non-standard)
17993,DE19860546-A1,KNOELL-INST NATURSTOFF-FORSCH EV HANS (KNOE-Non-standard)
17994,DE19860546-A1,FRAUNHOFER GES FOERDERUNG ANGEWANDTEN (FRAU-C)
17995,DE19860546-A1,FRAUNHOFER GES FOERDERUNG ANGEWANDTEN (FRAU-C)
17996,WO200036081-A2,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
17997,WO200036081-A2,FLETCHER CHALLENGE FORESTS LTD (FLET-Non-standard)
17998,WO200036081-A2,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
17999,WO200036081-A2,FLETCHER CHALLENGE FORESTS LTD (FLET-Non-standard)
18000,WO200036081-A2,RUBICON FORESTS HOLDINGS LTD (RUBI-Non-standard)
18001,WO200036081-A2,HONDA GIKEN KOGYO KK (HOND-C)
18002,WO200033823-A2,SCHERING CORP (SCHE-C)
18003,WO200032631-A2,ENTREMED INC (ENTR-Non-standard)
18004,WO200032632-A2,UNIV ABERDEEN (UYAB-C)
18005,WO200032632-A2,COMMON SERVICES AGENCY SCOTTISH HEALTH S (COMM-Non-standard)
18006,WO200032632-A2,URBANIAK S J (URBA-Individual)
18007,WO200032632-A2,BARKER R N (BARK-Individual)
18008,WO200032632-A2,UNIV ABERDEEN (UYAB-C)
18009,WO200032632-A2,COMMOM SERVICES AGENCY SCOTTISH HEALTH SERVICE (COMM-Non-standard)
18010,WO200032632-A2,COMMON SERVICES AGENCY SCOTTISH HEALTH S (COMM-Non-standard)
18011,WO200032632-A2,UNIV ABERDEEN (UYAB-C)
18012,WO200032632-A2,COMMON SERVICES AGENCY SCOTTISH HEALTH S (COMM-Non-standard)
18013,WO200032632-A2,URBANIAK S J (URBA-Individual)
18014,WO200032632-A2,BARKER R N (BARK-Individual)
18015,WO200032813-A1,YISSUM RES & DEV CO (YISS-C)
18016,WO200032813-A1,YISSUM RES DEV CO HEBREW UNIV JERUSALEM (YISS-C)
18017,WO200032813-A1,YISSUM RES DEV CO HEBREW UNIV JERUSALEM (YISS-C)
18018,WO200032813-A1,YISSUM RES DEV CO HEBREW UNIV JERUSALEM (YISS-C)
18019,WO200032813-A1,YISSUM RES DEV CO HEBREW UNIV JERUSALEM (YISS-C)
18020,US6071699-A,CALIFORNIA INST OF TECHNOLOGY (CALY-C)
18021,US6072043-A,POLYPROBE INC (POLY-Non-standard)
18022,WO200031537-A1,CARLSSON B (CARL-Individual)
18023,WO200031537-A1,CARLSSON L (CARL-Individual)
18024,WO200031135-A1,INST CIENTIFICO & TECNOLOGICO NAVARRA (CIEN-Non-standard)
18025,WO200031135-A1,INST CIENTIFICO & TECNOLOGICO NAVARRA (CIEN-Non-standard)
18026,WO200031135-A1,INST CIENTIFICO & TECNOLOGICO NAVARRA SA (CIEN-Non-standard)
18027,WO200031135-A1,INST CIENTIFICO & TECNOLOGICO NAVARRA SA (CIEN-Non-standard)
18028,WO200031135-A1,FUND INVESTIGACION MEDICA APLICADA (INVE-Non-standard)
18029,WO200031135-A1,INST CIENTIFICO & TECNOLOGICO (CIEN-Non-standard)
18030,WO200031135-A1,FUNDACION INVESTIGACION MEDICA APLICADA (INVE-Non-standard)
18031,WO200031135-A1,FUNDACION INVESTIGACION MEDICA APLICADA (INVE-Non-standard)
18032,WO200031135-A1,PROYECTO BIOMEDICINA CIMA SL (PROY-Non-standard)
18033,WO200031135-A1,PROYECTO BIOMEDICINA CIMA SL (PROY-Non-standard)
18034,WO200031135-A1,PROYECTO BIOMEDICINA CIMA SL (PROY-Non-standard)
18035,WO200031135-A1,PROYECTO BIOMEDICINA CIMA SL (PROY-Non-standard)
18036,WO200031135-A1,INST APPLIED MEDICINE (MEDI-Non-standard)
18037,WO200031135-A1,PROYECTO BIOMEDICINA CIMA SL (PROY-Non-standard)
18038,WO200031135-A1,EZQUERRO S I J (EZQU-Individual)
18039,WO200031135-A1,LASARTE S J J (LASA-Individual)
18040,WO200031135-A1,PRIETO V J (PRIE-Individual)
18041,WO200031135-A1,BORRAS C F (BORR-Individual)
18042,WO200031135-A1,PROYECTO BIOMEDICINA SINA SOC LTDA (PROY-Non-standard)
18043,WO200031135-A1,ROJECTO BIOMEDICINA CIMA SL (ROJE-Non-standard)
18044,WO200031135-A1,INST CIENTIFICO&TECNOLOGICO NAVARRA SA (CIEN-Non-standard)
18045,WO200031546-A1,ELAN CORP PLC (ELAN-C)
18046,WO200031546-A1,O'MAHONY D J (OMAH-Individual)
18047,WO200031546-A1,SEVESO M (SEVE-Individual)
18048,US6070126-A,KOKOLUS W J (KOKO-Individual)
18049,JP2000143704-A,AGENCY OF IND SCI & TECHNOLOGY (AGEN-C)
18050,JP2000143704-A,AGENCY OF IND SCI & TECHNOLOGY (AGEN-C)
18051,WO200029625-A1,NORTH SHORE-LONG ISLAND JEWISH RES (NSHO-Non-standard)
18052,WO200029851-A1,STICHTING DIENST LANDBOUWKUNDIG ONDERZOE (DIEN-Non-standard)
18053,WO200029851-A1,PEPSCAN SYSTEMS BV (PEPS-Non-standard)
18054,WO200029851-A1,PEPSCAN SYSTEMS BV (PEPS-Non-standard)
18055,WO200029851-A1,PEPSCAN SYSTEMS BV (PEPS-Non-standard)
18056,WO200029851-A1,PEPSCAN SYSTEMS BV (PEPS-Non-standard)
18057,US6066725-A,PHARMING BV (PHAR-Non-standard)
18058,WO200027521-A1,SOLEXA LTD (SOLE-Non-standard)
18059,WO200027521-A1,SOLEXA LTD (SOLE-Non-standard)
18060,WO200027870-A1,HADASIT MEDICAL RES SERVICES & DEV (HSIT-C)
18061,WO200027870-A1,HADASIT MEDICAL RES SERVICES & DEV (HSIT-C)
18062,WO200027870-A1,NAPARSTEK Y (NAPA-Individual)
18063,WO200027870-A1,ULMANSKY R (ULMA-Individual)
18064,WO200027870-A1,KASHI Y (KASH-Individual)
18065,WO200027870-A1,HADASIT MEDICAL RES SERVICES & DEV LTD (HSIT-C)
18066,WO200027870-A1,HADASIT MEDICAL RES SERVICES & DEV CO LT (HSIT-C)
18067,WO200027870-A1,HADASIT MEDICAL RES SERVICES & DEV CO LT (HSIT-C)
18068,WO200027870-A1,HADASIT MEDICAL RES SERVICES & DEV LTD (HSIT-C)
18069,WO200027870-A1,HADASIT MEDICAL RES SERVICES & DEV LTD (HSIT-C)
18070,WO200028064-A1,AVENTIS PHARMA DEUT GMBH (AVET-C)
18071,WO200028064-A1,AVENTIS PHARMA DEUT GMBH (AVET-C)
18072,WO200028064-A1,AVENTIS PHARMA DEUT GMBH (AVET-C)
18073,WO200028064-A1,RAMAKRISHNA N V S (RAMA-Individual)
18074,WO200028064-A1,BHAT R G (BHAT-Individual)
18075,WO200028064-A1,SREEKUMAR E S (SREE-Individual)
18076,WO200028064-A1,VIJAYAKUMAR E K S (VIJA-Individual)
18077,WO200028064-A1,NAKER S D (NAKE-Individual)
18078,WO200028064-A1,OAK U V (OAKU-Individual)
18079,WO200028064-A1,TANPURE R P (TANP-Individual)
18080,WO200028064-A1,HOPMANN C (HOPM-Individual)
18081,WO200028064-A1,KURZ M (KURZ-Individual)
18082,WO200028064-A1,WINK J (WINK-Individual)
18083,WO200028064-A1,SEIBERT G (SEIB-Individual)
18084,WO200028064-A1,LE BELLER D (LBEL-Individual)
18085,WO200028064-A1,ASZODI J (ASZO-Individual)
18086,WO200028064-A1,AVENTIS PHARM DEUT GMBH (AVET-C)
18087,WO200028064-A1,SANOFI-AVENTIS DEUT GMBH (SNFI-C)
18088,DE19853067-A1,JOMED IMPLANTATE GMBH (JOME-Non-standard)
18089,DE19853067-A1,JOMED IMPLANTATE GMBH (JOME-Non-standard)
18090,DE19853067-A1,VON OEPEN R (VOEP-Individual)
18091,WO200025809-A1,SMITH & NEPHEW PLC (SMIN-C)
18092,WO200026340-A2,PENN STATE RES FOUND (PSRF-C)
18093,WO200026340-A2,ZAGON I S (ZAGO-Individual)
18094,WO200026340-A2,MCLAUGHLIN P J (MCLA-Individual)
18095,WO200026340-A2,VERDERAME M F (VERD-Individual)
18096,WO200026340-A2,ZAGON L S (ZAGO-Individual)
18097,WO200026340-A2,ZAGON I S (ZAGO-Individual)
18098,WO200026340-A2,MCLAUGHLIN P J (MCLA-Individual)
18099,WO200026340-A2,VERDERAME M F (VERD-Individual)
18100,IN183869-B,RAY P K (RAYP-Individual)
18101,IN183869-B,SINHA P (SINH-Individual)
18102,IN183869-B,SENGUPTA J (SENG-Individual)
18103,EP1006180-A1,RIKEN KK (RIKE-C)
18104,EP1006180-A1,HAYASHIZAKI Y (HAYA-Individual)
18105,EP1006180-A1,HAYASHIZAKI Y (HAYA-Individual)
18106,EP1006180-A1,RIKEN KK (RIKE-C)
18107,EP1006180-A1,RIKAGAKU KENKYUSHO (RIKA-C)
18108,EP1006180-A1,RIKEN KK (RIKE-C)
18109,EP1006180-A1,DNAFORM KK (DNAF-Non-standard)
18110,EP1006180-A1,DNAFORM KK (DNAF-Non-standard)
18111,EP1006180-A1,DOKURITSU GYOSEI HOJIN RIKAGAKU KENKYUSH (RICR-C)
18112,WO200024404-A1,UNIV TEXAS SYSTEM (TEXA-C)
18113,WO200024404-A1,GORENSTEIN D G (GORE-Individual)
18114,WO200024404-A1,KING D J (KING-Individual)
18115,WO200024404-A1,VENTURA D A (VENT-Individual)
18116,WO200024404-A1,BRASIER A R (BRAS-Individual)
18117,WO200024404-A1,UNIV TEXAS SYSTEM (TEXA-C)
18118,DE19850680-A1,NEHLS P (NEHL-Individual)
18119,DE19850680-A1,GLUESENKAMP K (GLUE-Individual)
18120,DE19850680-A1,NEHLS P (NEHL-Individual)
18121,DE19850680-A1,NEHLS P (NEHL-Individual)
18122,DE19850680-A1,NEHLS P (NEHL-Individual)
18123,DE19850680-A1,GLUSENKAMP K H (GLUS-Individual)
18124,DE19850680-A1,RUBIKON AG (RUBI-Non-standard)
18125,WO200024778-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
18126,DE19831429-A1,JERINI BIOTOOLS GMBH (JERI-Non-standard)
18127,DE19848403-A1,VON KIEDROWSKI G (VKIE-Individual)
18128,WO200023616-A2,NOXXON PHARMA AG (NOXX-C)
18129,WO200023616-A2,VON KIEDROWSKI G (VKIE-Individual)
18130,WO200023616-A2,NOXXON PHARMA AG (NOXX-C)
18131,WO200022092-A2,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
18132,WO200022092-A2,FLETCHER CHALLENGE FORESTS LTD (FLET-Non-standard)
18133,WO200022092-A2,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
18134,WO200022092-A2,FLETCHER CHALLENGE FORESTS LTD (FLET-Non-standard)
18135,WO200022092-A2,RUBICON FORESTS HOLDINGS LTD (RUBI-Non-standard)
18136,WO200022092-A2,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
18137,WO200022099-A1,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
18138,WO200022099-A1,FLETCHER CHALLENGE FORESTS LTD (FLET-Non-standard)
18139,WO200022099-A1,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
18140,WO200022099-A1,FLETCHER CHALLENGE FORESTS LTD (FLET-Non-standard)
18141,WO200022099-A1,GENESIS RES & DEV CO LTD (GENE-Non-standard)
18142,WO200022099-A1,RUBICON FORESTS HOLDINGS LTD (RUBI-Non-standard)
18143,WO200022099-A1,GENESIS RES & DEV CORP LTD (GENE-Non-standard)
18144,WO200022099-A1,RUBICAM FORESTS IND LTD (RUBI-Non-standard)
18145,WO200022099-A1,ARBORGEN LLC (ARBO-Non-standard)
18146,WO200022099-A1,ARBORGEN LLC (ARBO-Non-standard)
18147,WO200022099-A1,ARBORGEN LLC (ARBO-Non-standard)
18148,WO200022099-A1,ARBORGEN INC (ARBO-Non-standard)
18149,WO200022133-A1,NOVARTIS AG (NOVS-C)
18150,WO200022133-A1,NOVARTIS-ERFINDUNGEN VERW GES MBH (NOVS-C)
18151,DE19846077-A1,GOERINGER U H (GOER-Individual)
18152,WO200020622-A1,ISIS PHARM INC (ISSP-C)
18153,WO200020622-A1,ISIS PHARM INC (ISSP-C)
18154,WO200020557-A2,UNIV CORNELL BOYCE INST PLANT RES (CORR-C)
18155,WO200020557-A2,BOYCE THOMPSON INST PLANT RES (CORR-C)
18156,WO200020557-A2,MASON H (MASO-Individual)
18157,WO200020557-A2,PALMER K E (PALM-Individual)
18158,WO200020557-A2,HEFFERON K L (HEFF-Individual)
18159,WO200020557-A2,MOR T S (MORT-Individual)
18160,WO200020557-A2,ARNTZEN C (ARNT-Individual)
18161,WO200020457-A1,GENZYME CORP (GENZ-C)
18162,WO200020457-A1,NICOLETTE C A (NICO-Individual)
18163,US6048954-A,UNIV TEXAS SYSTEM (TEXA-C)
18164,WO200018351-A2,BOGOCH S (BOGO-Individual)
18165,WO200018351-A2,BOGOCH E S (BOGO-Individual)
18166,WO200018351-A2,BOGOCH S (BOGO-Individual)
18167,WO200018351-A2,BOGOCH E S (BOGO-Individual)
18168,WO200018351-A2,BOGOCH E S (BOGO-Individual)
18169,WO200018351-A2,BOGOCH S (BOGO-Individual)
18170,WO200018351-A2,BOGOCH S (BOGO-Individual)
18171,WO200018351-A2,BOGOCH E S (BOGO-Individual)
18172,WO200018351-A2,BOGOCH S (BOGO-Individual)
18173,WO200018351-A2,BOGOCH E S (BOGO-Individual)
18174,WO200018351-A2,BOGOCH S D (BOGO-Individual)
18175,WO200018850-A1,NALCO CHEM CO (NALC-C)
18176,WO200017401-A2,UNIV RAMOT APPLIED RES & IND DEV LTD (UYTA-C)
18177,WO200017401-A2,FRIEDMAN M M (FRIE-Individual)
18178,WO200017401-A2,HARONIAN D (HARO-Individual)
18179,WO200017401-A2,NATHAN M (NATH-Individual)
18180,WO200017401-A2,GERSHONI J M (GERS-Individual)
18181,WO200017401-A2,YARON A (YARO-Individual)
18182,WO200017401-A2,UNIV RAMOT APPLIED RES & IND DEV LTD (UYTA-C)
18183,WO200017401-A2,GERSHONI J M (GERS-Individual)
18184,WO200017401-A2,HARONIAN D (HARO-Individual)
18185,WO200017401-A2,NATHAN M (NATH-Individual)
18186,WO200017401-A2,UNIV RAMOT AUTHORITY APPLIED RES & IND (UYTA-C)
18187,WO200017648-A1,PROMEGA CORP (PRMG-C)
18188,WO200017648-A1,PROMEGA CORP (PRMG-C)
18189,WO200017648-A1,PROMEGA CORP (PRMG-C)
18190,EP989193-A2,HITACHI LTD (HITA-C)
18191,EP989193-A2,HITACHI LTD (HITA-C)
18192,US6043031-A,SEQUENOM INC (SEQU-C)
18193,WO200015824-A1,KAROLINSKA INNOVATIONS AB (KARO-Non-standard)
18194,WO200015824-A1,KAROLINSKA INNOVATIONS AB (KARO-Non-standard)
18195,WO200015824-A1,AVARIS AB (AVAR-Non-standard)
18196,WO200015824-A1,AVARIS AB (AVAR-Non-standard)
18197,WO200015824-A1,AVARIS AB (AVAR-Non-standard)
18198,WO200014273-A2,SIGNALGENE INC (SIGN-Non-standard)
18199,WO200014283-A2,UNIV WASHINGTON (UNIW-C)
18200,WO200014283-A2,DIECKGRAEFE B K (DIEC-Individual)
18201,WO200014736-A1,DOW CHEM CO (DOWC-C)
18202,JP2000102384-A,AFFYMETRIX INC (AFFY-C)
18203,JP2000102384-A,AFFYMETRIX INC (AFFY-C)
18204,JP2000102384-A,GUNDERSON K L (GUND-Individual)
18205,JP2000102384-A,CHEE M S (CHEE-Individual)
18206,JP2000102384-A,LOCKHART D J (LOCK-Individual)
18207,JP2000102384-A,AFFYMETRIX INC (AFFY-C)
18208,US6036957-A,AUTOIMMUNE INC (AUTO-Non-standard)
18209,WO200012541-A2,ALPHARMA AS (ALPH-Non-standard)
18210,WO200012541-A2,GARDNER R (GARD-Individual)
18211,WO200012541-A2,ALPHARMA AS (ALPH-Non-standard)
18212,WO200012541-A2,ALPHARMA AS (ALPH-Non-standard)
18213,WO200012541-A2,GARDNER R (GARD-Individual)
18214,WO200012541-A2,LYTIX BIOPHARMA AS (LYTI-Non-standard)
18215,WO200012541-A2,LYTIX BIOPHARMA AS (LYTI-Non-standard)
18216,WO200012541-A2,LYTIX BIOPHARMA AS (LYTI-Non-standard)
18217,WO200012541-A2,LYTIX BIOPHARMA AS (LYTI-Non-standard)
18218,WO200012553-A1,MYELOS CORP (MYEL-Non-standard)
18219,WO200012553-A1,MYELOS CORP (MYEL-Non-standard)
18220,WO200012553-A1,MYELOS CORP (MYEL-Non-standard)
18221,WO200011220-A1,UNIV WASHINGTON (UNIW-C)
18222,WO200011220-A1,MONSANTO CO (MONS-C)
18223,WO200011220-A1,UNIV WASHINGTON (UNIW-C)
18224,WO200011220-A1,MONSANTO CO (MONS-C)
18225,WO200011220-A1,UNIV WASHINGTON (UNIW-C)
18226,WO200011220-A1,PHARMACIA CORP (PHAA-C)
18227,WO200011223-A1,AFFYMETRIX INC (AFFY-C)
18228,WO200011223-A1,AFFYMETRIX INC (AFFY-C)
18229,WO200011223-A1,GENTALEN E (GENT-Individual)
18230,WO200011223-A1,CHEE M (CHEE-Individual)
18231,WO200011223-A1,AFFYMETRIX INC (AFFY-C)
18232,WO200011223-A1,AFFYMETRIX INC (AFFY-C)
18233,WO200011223-A1,CHEE M (CHEE-Individual)
18234,WO200011223-A1,GENTALEN E (GENT-Individual)
18235,US6030940-A,CHIRON CORP (CHIR-C)
18236,US6030775-A,CEREB N (CERE-Individual)
18237,US6030775-A,YANG S Y (YANG-Individual)
18238,US6030783-A,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
18239,WO200009756-A1,PERKIN-ELMER CORP (PEKE-C)
18240,WO200009526-A2,UNIV JOHNS HOPKINS SCHOOL MEDICINE (UYJO-C)
18241,US6028190-A,UNIV CALIFORNIA (REGC-C)
18242,WO200008213-A1,GUNTAKA R V (GUNT-Individual)
18243,WO200008213-A1,GUNTAKA R V (GUNT-Individual)
18244,WO200008213-A1,KANDALA J (KAND-Individual)
18245,WO200008213-A1,KOVACS A (KOVA-Individual)
18246,WO200008213-A1,WEBER K T (WEBE-Individual)
18247,WO200008211-A2,TM TECHNOLOGIES INC (TMTE-Non-standard)
18248,WO200008211-A2,LANE M J (LANE-Individual)
18249,WO200008211-A2,BENIGHT A S (BENI-Individual)
18250,WO200008211-A2,FALDASZ B D (FALD-Individual)
18251,WO200008211-A2,LUMINEX MOLECULAR DIAGNOSTICS INC (LUMI-Non-standard)
18252,EP985729-A2,CENT ING GENETICA&BIOTECNOLOGIA (CIGB-C)
18253,EP985729-A2,CENT ING GENETICA&BIOTECNOLOGIA (CIGB-C)
18254,EP985729-A2,CENT ING GENETICA&BIOTECNOLOGICA (CIGB-C)
18255,EP985729-A2,CENT ING GENETICA & BIOTECNOLOGIA (CIGB-C)
18256,WO200006770-A1,SOLEXA LTD (SOLE-Non-standard)
18257,WO200006770-A1,SOLEXA LTD (SOLE-Non-standard)
18258,WO200006770-A1,SOLEXA LTD (SOLE-Non-standard)
18259,WO200006770-A1,BALASUBRAMANIAN S (BALA-Individual)
18260,WO200006770-A1,KLENERMAN D (KLEN-Individual)
18261,WO200006770-A1,BENTLEY D (BENT-Individual)
18262,WO200006770-A1,SOLEXA LTD (SOLE-Non-standard)
18263,WO200006770-A1,SOLEXA LTD (SOLE-Non-standard)
18264,WO200006770-A1,BARNES C (BARN-Individual)
18265,WO200006770-A1,OSBORNE M A (OSBO-Individual)
18266,WO200006770-A1,ILLUMINA CAMBRIDGE LTD (ILLU-C)
18267,WO200006723-A1,YEDA RES & DEV CO LTD (YEDA-C)
18268,WO200006723-A1,BIO-TECHNOLOGY GEN CORP (BIOT-Non-standard)
18269,WO200006723-A1,YEDA RES & DEV CO LTD (YEDA-C)
18270,WO200006723-A1,BIOTECHNOLOGY GEN CORP (BIOT-Non-standard)
18271,WO200006723-A1,YEDA RES & DEV CO LTD (YEDA-C)
18272,WO200006723-A1,BIO-TECHNOLOGY GEN CORP (BIOT-Non-standard)
18273,WO200006723-A1,YEDA RES & DEV CO LTD (YEDA-C)
18274,WO200006723-A1,YEDA RES & DEV CO LTD (YEDA-C)
18275,WO200006723-A1,YEDA RES&DEV CO LTD (YEDA-C)
18276,WO200006723-A1,YEDA RES&DEV CO LTD (YEDA-C)
18277,WO200007022-A1,UNIV CHICAGO (UYCG-C)
18278,WO200007022-A1,UNIV CHICAGO (UYCG-C)
18279,WO200007022-A1,UNIV CHICAGO (UYCG-C)
18280,WO200006696-A2,UNIV SOUTH FLORIDA (UYSF-C)
18281,WO200006696-A2,UNIV SOUTH FLORIDA (UYSF-C)
18282,WO200006696-A2,ZUCKERMAN K S (ZUCK-Individual)
18283,WO200006696-A2,LIU R Y (LIUR-Individual)
18284,US6022714-A,GENETICS INST INC (GEMY-C)
